gene_symbol	ensp_id	proximity	sn_tpm
CAPZB	9606.ENSP00000401010	1.0235414534288638	70.2419
EIF4H	9606.ENSP00000265753	1.0245901639344261	116.449
ATXN3	9606.ENSP00000478320	1.0245901639344261	1.47553
KIF5B	9606.ENSP00000307078	1.0245901639344261	105.774
SH3GL3	9606.ENSP00000320092	1.0245901639344261	53.7251
CLTB	9606.ENSP00000309415	1.0266940451745379	70.671
EIF3G	9606.ENSP00000253108	1.0266940451745379	81.8031
CUL1	9606.ENSP00000326804	1.0266940451745379	23.043
VDAC1	9606.ENSP00000265333	1.0266940451745379	76.0814
NOTCH2	9606.ENSP00000256646	1.0266940451745379	3.60971
EIF3F	9606.ENSP00000431800	1.027749229188078	17.9483
EIF3H	9606.ENSP00000429931	1.027749229188078	35.0593
SKP1	9606.ENSP00000231487	1.027749229188078	53.6913
HNRNPA2B1	9606.ENSP00000346694	1.027749229188078	224.722
SNX6	9606.ENSP00000355217	1.027749229188078	27.3527
PSAP	9606.ENSP00000378394	1.02880658436214	494.839
EIF2S2	9606.ENSP00000364119	1.02880658436214	35.8179
COPS5	9606.ENSP00000350512	1.02880658436214	20.6919
VCP	9606.ENSP00000351777	1.02880658436214	53.1406
UPF2	9606.ENSP00000348708	1.02880658436214	9.81806
ITSN2	9606.ENSP00000347244	1.0298661174047374	4.72734
MATR3	9606.ENSP00000354346	1.0298661174047374	7.61569
CLTA	9606.ENSP00000242285	1.0309278350515463	78.1333
CNOT1	9606.ENSP00000320949	1.0309278350515463	6.98594
UBE2K	9606.ENSP00000261427	1.0309278350515463	17.515
UBE2S	9606.ENSP00000264552	1.0309278350515463	10.3329
STUB1	9606.ENSP00000219548	1.0309278350515463	60.1674
AP2A1	9606.ENSP00000351926	1.0309278350515463	27.4652
HNRNPH1	9606.ENSP00000349168	1.0309278350515463	37.0108
KIF3A	9606.ENSP00000385808	1.0319917440660475	14.7379
FYN	9606.ENSP00000346671	1.0319917440660475	39.9027
EIF3E	9606.ENSP00000220849	1.0319917440660475	43.7242
UBE2E2	9606.ENSP00000379931	1.0319917440660475	11.1576
TMED10	9606.ENSP00000303145	1.0319917440660475	46.3631
TOMM22	9606.ENSP00000216034	1.0319917440660475	25.1847
DNM3	9606.ENSP00000356705	1.0330578512396693	15.8098
EIF3D	9606.ENSP00000216190	1.0330578512396693	33.9825
CASP3	9606.ENSP00000311032	1.0330578512396693	7.82368
RHOT2	9606.ENSP00000321971	1.0330578512396693	36.3218
UBE2L6	9606.ENSP00000287156	1.0330578512396693	37.2613
UCHL1	9606.ENSP00000284440	1.0330578512396693	428.928
BIN1	9606.ENSP00000316779	1.0330578512396693	142.491
HNRNPA1	9606.ENSP00000341826	1.0330578512396693	151.133
TBC1D5	9606.ENSP00000402935	1.0330578512396693	10.6328
BICD1	9606.ENSP00000281474	1.0341261633919339	2.4527
UPF1	9606.ENSP00000470142	1.0341261633919339	16.9275
TUBA1B	9606.ENSP00000336799	1.0341261633919339	215.919
SYT1	9606.ENSP00000261205	1.0341261633919339	35.5299
GAK	9606.ENSP00000314499	1.0341261633919339	19.3021
PTBP1	9606.ENSP00000349428	1.0351966873706004	19.7282
EIF1AX	9606.ENSP00000368927	1.0351966873706004	25.5902
COPS7A	9606.ENSP00000438115	1.0351966873706004	42.8976
ERBB4	9606.ENSP00000342235	1.0351966873706004	4.02936
SH3KBP1	9606.ENSP00000380921	1.0351966873706004	16.7718
DYNLL1	9606.ENSP00000376297	1.0362694300518134	121.204
RPL13A	9606.ENSP00000375730	1.0362694300518134	789.862
KIF5A	9606.ENSP00000408979	1.0362694300518134	65.7081
XIAP	9606.ENSP00000360242	1.0362694300518134	8.38718
AMBRA1	9606.ENSP00000431926	1.0362694300518134	4.07909
HNRNPC	9606.ENSP00000451291	1.0362694300518134	61.6987
SNX5	9606.ENSP00000366998	1.0362694300518134	26.2345
REPS1	9606.ENSP00000392065	1.0362694300518134	7.36115
DNM2	9606.ENSP00000373905	1.0362694300518134	25.7537
HSPA4	9606.ENSP00000302961	1.0362694300518134	25.2341
PICALM	9606.ENSP00000377015	1.0362694300518134	65.1785
UBE2N	9606.ENSP00000316176	1.037344398340249	30.0346
HNRNPR	9606.ENSP00000363745	1.037344398340249	16.9851
DNER	9606.ENSP00000345229	1.037344398340249	109.45
GRK5	9606.ENSP00000376609	1.037344398340249	8.40759
RAB6A	9606.ENSP00000311449	1.037344398340249	94.1641
COPS3	9606.ENSP00000268717	1.037344398340249	26.2479
TOMM40	9606.ENSP00000410339	1.037344398340249	16.4903
PARN	9606.ENSP00000387911	1.037344398340249	9.26748
SRSF1	9606.ENSP00000258962	1.0384215991692627	61.6596
TAF15	9606.ENSP00000474096	1.0384215991692627	65.7008
ATG7	9606.ENSP00000346437	1.0395010395010396	3.47225
SUMO1	9606.ENSP00000376077	1.0395010395010396	46.4123
CAMK2A	9606.ENSP00000381412	1.0395010395010396	6.71424
PACSIN1	9606.ENSP00000484060	1.0395010395010396	32.0655
PMPCB	9606.ENSP00000249269	1.0395010395010396	16.7806
B4GALT6	9606.ENSP00000306459	1.0395010395010396	2.89472
CHCHD4	9606.ENSP00000295767	1.0395010395010396	12.8154
COPS4	9606.ENSP00000264389	1.0405827263267429	16.2685
CNOT7	9606.ENSP00000355279	1.0405827263267429	9.74723
UBE2D2	9606.ENSP00000381717	1.0405827263267429	41.7937
MAPK8	9606.ENSP00000378974	1.0405827263267429	6.55839
UPF3B	9606.ENSP00000276201	1.0405827263267429	10.4811
COQ3	9606.ENSP00000254759	1.0405827263267429	7.93446
CTSA	9606.ENSP00000361562	1.0416666666666667	33.2623
PACSIN3	9606.ENSP00000440945	1.0416666666666667	15.8117
BCS1L	9606.ENSP00000413908	1.0416666666666667	13.255
RBX1	9606.ENSP00000216225	1.0416666666666667	76.7987
PACSIN2	9606.ENSP00000263246	1.0427528675703859	25.632
KLK6	9606.ENSP00000366047	1.0427528675703859	74.2625
GPS1	9606.ENSP00000376167	1.0427528675703859	42.2737
RNF41	9606.ENSP00000342755	1.0427528675703859	9.8146
EPS15L1	9606.ENSP00000393313	1.0427528675703859	7.59674
ELAVL1	9606.ENSP00000385269	1.0427528675703859	10.4371
RPS13	9606.ENSP00000435777	1.0438413361169103	507.28
BACE1	9606.ENSP00000318585	1.0438413361169103	40.9651
NOTCH4	9606.ENSP00000364163	1.0438413361169103	8.80898
SIAH2	9606.ENSP00000322457	1.0438413361169103	6.98166
SIAH1	9606.ENSP00000349156	1.044932079414838	2.89485
WASL	9606.ENSP00000223023	1.044932079414838	18.8431
EIF3M	9606.ENSP00000436049	1.044932079414838	12.6311
RAB7A	9606.ENSP00000265062	1.044932079414838	174.072
HNRNPM	9606.ENSP00000325376	1.044932079414838	56.1376
FUS	9606.ENSP00000254108	1.044932079414838	42.8534
TOR1A	9606.ENSP00000345719	1.0460251046025104	8.83343
ARPC5	9606.ENSP00000294742	1.0460251046025104	14.3938
EIF3L	9606.ENSP00000485663	1.0460251046025104	47.9362
DYNC1LI2	9606.ENSP00000258198	1.0471204188481675	144.641
UBE2J1	9606.ENSP00000451261	1.0471204188481675	16.6063
PARL	9606.ENSP00000325421	1.0471204188481675	28.0589
ATP5B	9606.ENSP00000262030	1.0471204188481675	238.975
KLC1	9606.ENSP00000414982	1.0471204188481675	43.0291
PDCD4	9606.ENSP00000280154	1.0471204188481675	17.4455
GDI1	9606.ENSP00000394071	1.0471204188481675	195.457
EPN1	9606.ENSP00000406209	1.0471204188481675	10.3581
DCP1A	9606.ENSP00000476046	1.0471204188481675	3.87147
HSPB1	9606.ENSP00000248553	1.0471204188481675	164.303
DDX39B	9606.ENSP00000379475	1.0482180293501049	60.2066
UPF3A	9606.ENSP00000364448	1.0482180293501049	36.2804
EIF2S3	9606.ENSP00000253039	1.0482180293501049	23.9761
UBE2G1	9606.ENSP00000380178	1.0482180293501049	13.5361
EPHB2	9606.ENSP00000363763	1.0493179433368311	1.97763
FBXW7	9606.ENSP00000281708	1.0493179433368311	5.40465
GSPT1	9606.ENSP00000398131	1.0493179433368311	14.8132
COPS2	9606.ENSP00000299259	1.0493179433368311	10.4721
